freq	dB(S(1,2))
2.65078446568749948E9	-1.20524578354067202E-1
2.65145426164062537E9	-1.04216091006780975E-1
2.65212405759375036E9	-9.12221619764990166E-2
2.65279385354687536E9	-8.07807149842468419E-2
2.65346364949999947E9	-7.23131452931407992E-2
2.65614283331249990E9	-5.08895689898270476E-2
2.65882201712500033E9	-4.00119827592831889E-2
2.66150120093749942E9	-3.38881245610836324E-2
2.66418038474999985E9	-3.01651567880535687E-2
2.66685956856249984E9	-2.77669613752049216E-2
2.66953875237500027E9	-2.61519932253605258E-2
2.67221793618749981E9	-2.50261479929312358E-2
2.67489711999999979E9	-2.42195827948865494E-2
2.70061728450000027E9	-2.19626173703688732E-2
2.72633744899999986E9	-2.18894331722240532E-2
2.75205761349999989E9	-2.21018597850347343E-2
2.77777777799999992E9	-2.23735692158443689E-2
2.91666666674999986E9	-2.38802664715237523E-2
3.05555555550000024E9	-2.52945558761751910E-2
3.19444444424999974E9	-2.66513938585689392E-2
3.33333333300000012E9	-2.79757563867864167E-2
3.42013888856250015E9	-2.87954925450806165E-2
3.50694444412500062E9	-2.96146448290230513E-2
3.59374999968750064E9	-3.04381634917981314E-2
3.68055555524999978E9	-3.12713595691275881E-2
3.76736111081250025E9	-3.21199248692167227E-2
3.85416666637500072E9	-3.29899406569765663E-2
3.94097222193749985E9	-3.38879011390851259E-2
4.02777777750000077E9	-3.48207723966477189E-2
4.11458333306249990E9	-3.57961024017702023E-2
4.20138888862499993E9	-3.68221907061245535E-2
4.28819444418749907E9	-3.79083157965799700E-2
4.37499999974999998E9	-3.90650035015699126E-2
4.46180555531250000E9	-4.03043023392432165E-2
4.54861111087500003E9	-4.16400150235961064E-2
4.63541666643750094E9	-4.30878269822513094E-2
4.72222222200000097E9	-4.46652855686421191E-2
4.78920181737499995E9	-4.59831709591957427E-2
4.85618141274999982E9	-4.73991426306364172E-2
4.92316100812499968E9	-4.89232409307776361E-2
4.99014060350000044E9	-5.05663449018175015E-2
5.05712019887499942E9	-5.23409859622345319E-2
5.12409979425000106E9	-5.42634040277489760E-2
5.19107938962499915E9	-5.63585735561789924E-2
5.25805898499999991E9	-5.86732037851743549E-2
5.30271204850000011E9	-6.03859178433612520E-2
5.34736511200000031E9	-6.23093784539585727E-2
5.39201817550000051E9	-6.46063442746878547E-2
5.43667123899999982E9	-6.78309732437920765E-2
5.45899777074999992E9	-7.07163747038476131E-2
5.48132430250000002E9	-8.16749807312333687E-2
5.48690593543750094E9	-9.17778149751301520E-2
5.49248756837500096E9	-9.74883553200618813E-2
5.49388297660937486E9	-9.43286287393963185E-2
5.49527838484375053E9	-9.10611712612532287E-2
5.49667379307812443E9	-8.92765885083941413E-2
5.49806920131250099E9	-8.86667215796451735E-2
5.49946460954687399E9	-8.83467590604858444E-2
5.50086001778125055E9	-8.78318488342257808E-2
5.50225542601562445E9	-8.71296043219352256E-2
5.50365083425000012E9	-8.63527348777643056E-2
5.50923246718750015E9	-8.38842444782819285E-2
5.51481410012500195E9	-8.31160965215715208E-2
5.52039573306249931E9	-8.35605716452228720E-2
5.52597736600000111E9	-8.48581310484230755E-2
5.53602430549999891E9	-8.90575353626178945E-2
5.54607124500000026E9	-9.62042769053020308E-2
5.55611818449999983E9	-1.08374936548230894E-1
5.56616512400000030E9	-1.30936470153687790E-1
5.57118859362500007E9	-1.50057183211103196E-1
5.57621206324999985E9	-1.79127511080868218E-1
5.58123553287500052E9	-2.25638236334793696E-1
5.58625900249999940E9	-3.03742902004507176E-1
5.58751486990625068E9	-3.30779760454578620E-1
5.58877073731249929E9	-3.61658588716011709E-1
5.59002660471874968E9	-3.96753234965917834E-1
5.59128247212500007E9	-4.36290093249885569E-1
5.59253833953125046E9	-4.80197760832899512E-1
5.59379420693750085E9	-5.27889765232158759E-1
5.59505007434375035E9	-5.77991506709030034E-1
5.59630594174999896E9	-6.28073124544871675E-1
5.59756180915624846E9	-6.74529881364489725E-1
5.59881767656250062E9	-7.12821618357782327E-1
5.60007354396875012E9	-7.38242378598697790E-1
