Freq(Hz),Sdd11(mag),Sdd11(phase),Sds12(mag),Sds12(phase),Ssd21(mag),Ssd21(phase),Sss22(mag),Sss22(phase)
1.36E+09,-23.34679,-104.94657,-13.39387,93.61307,-13.5716,92.37257,-17.4328,136.81978
1.37E+09,-23.81885,-110.63229,-13.35925,91.00968,-13.7868,88.3563,-17.25352,135.55975
1.38E+09,-24.5081,-109.00112,-13.3644,88.66042,-13.4901,87.89102,-17.38243,131.70908
1.38E+09,-24.53171,-108.24025,-13.44791,85.83055,-13.64194,84.14983,-17.07915,128.11978
1.39E+09,-24.62124,-113.17171,-13.27187,82.94497,-13.68477,81.41124,-17.44106,128.46574
1.39E+09,-24.22314,-113.67418,-13.27252,79.44295,-13.57237,79.18247,-17.51196,127.52877
1.40E+09,-25.19863,-122.75044,-13.54897,78.09849,-13.48299,75.21982,-17.2534,128.20358
1.41E+09,-25.31165,-122.05671,-13.40074,75.48449,-13.58699,72.48846,-17.48357,126.18493
1.41E+09,-25.83822,-118.07643,-13.24064,71.14477,-13.79924,70.00652,-17.20926,124.15105
1.42E+09,-27.05731,-124.34866,-13.24837,68.8221,-13.66348,67.30022,-17.21728,122.61124
1.42E+09,-26.56283,-132.11526,-13.23835,66.71484,-13.69432,64.97289,-17.16594,124.04438
1.43E+09,-26.61718,-135.74931,-13.44694,62.34709,-13.63603,62.49457,-17.43541,124.41325
1.44E+09,-26.25829,-138.41057,-13.52982,62.24465,-13.79878,59.20293,-17.35125,122.41724
1.44E+09,-27.3385,-138.85309,-13.38916,58.34959,-13.55582,56.87743,-17.52287,122.8377
1.45E+09,-28.78405,-146.15038,-13.25162,56.0578,-13.72201,53.5324,-17.24691,120.51629
1.45E+09,-29.29574,-138.63177,-13.33648,52.11971,-13.77134,51.30992,-17.32631,116.45953
1.46E+09,-28.14057,-149.13792,-13.41494,51.91935,-13.6012,48.08183,-17.30257,120.15762
1.47E+09,-29.6391,-147.55695,-13.43115,48.68919,-13.53417,45.18945,-17.03709,117.20897
1.47E+09,-29.76018,-146.01067,-13.44991,43.72596,-13.50636,43.27861,-17.65468,115.69883
1.48E+09,-29.88391,-152.55737,-13.26253,41.55298,-13.5365,41.87539,-17.36274,116.18682
1.48E+09,-31.02578,-156.22745,-13.0244,38.70156,-13.78093,36.81663,-17.40439,113.451
1.49E+09,-33.27916,-151.69452,-13.42861,37.09335,-13.67133,33.80387,-18.09535,111.11424
1.50E+09,-32.09194,-152.97108,-13.37782,34.34634,-13.73401,33.07372,-17.10398,110.71458
